,smote_ratio,ratio_description,cv_auc_mean,cv_auc_std,cv_accuracy_mean,cv_accuracy_std,cv_precision_mean,cv_precision_std,cv_recall_mean,cv_recall_std,cv_f1_mean,cv_f1_std,train_roc_auc,train_accuracy,train_f1,avg_confusion_matrix,avg_tn,avg_fp,avg_fn,avg_tp,original_samples,balanced_samples,synthetic_samples_added,training_time
0,0.3,small (low),0.88021374723252,0.0013521949505838737,0.8865609078785954,0.0005260714782222224,0.8834119583147138,0.0004661271113846277,0.9894752304810488,0.0002942268388349366,0.933440283622898,0.0002966236696165548,1.0,1.0,1.0,"[[ 6321.8  7283.2]
 [  587.  55186.2]]",6321.8,7283.2,587.0,55186.2,277512,290019,12507,571.9901521205902
1,0.4,moderate (mid),0.8736279292036506,0.001411967392500299,0.8817121202647424,0.0009497293787735212,0.8843617740895862,0.0005208369529625032,0.981152236306954,0.00086680126048871,0.9302459005633719,0.000571225180998713,1.0,1.0,1.0,"[[ 6449.6  7155.4]
 [ 1051.2 54722. ]]",6449.6,7155.4,1051.2,54722.0,277512,312329,34816,676.7686460018158
2,0.5,Balanced (high),0.8684718584693953,0.0013172762902230611,0.8765635305740409,0.0007547152474942214,0.8845084058599955,0.0007049101194739327,0.9735751244920529,0.0006480972435160064,0.9269067704693489,0.00043432454032033224,1.0,1.0,1.0,"[[ 6515.   7090. ]
 [ 1473.8 54299.4]]",6515.0,7090.0,1473.8,54299.4,277512,334638,57126,716.7898027896881
3,0.6,Aggressive,0.864066903645929,0.00122623883302985,0.8713111593435618,0.0006345303132125936,0.884516716555888,0.0006188469813084005,0.966048209944067,0.00037513755914991273,0.9234862570083188,0.0003571795284143433,1.0,1.0,1.0,"[[ 6570.4  7034.6]
 [ 1893.6 53879.6]]",6570.4,7034.6,1893.6,53879.6,277512,356947,79435,803.3239827156067
4,0.7,Very Aggresive,0.8606974195246909,0.0012515846123729794,0.8666670483114622,0.0009089270955979217,0.8844405576245602,0.0006728994399937137,0.9595110188430234,0.0006192299315044617,0.9204475134228058,0.0005345705084567326,1.0,1.0,1.0,"[[ 6612.8  6992.2]
 [ 2258.2 53515. ]]",6612.8,6992.2,2258.2,53515.0,277512,379257,101744,867.7842826843262
